localitat,llengua_activitat_top1,llengua_activitat_top2,llengua_activitat_top3,llengua_publicitat_top1,llengua_publicitat_top2,position_val_in_llengua_activitat,position_esp_in_llengua_activitat,n_activitats,ratio_activitats_nhabitants
Albal,Valencià/català,Valencià/català,Valencià/català,Valencià/català,Valencià/català,0,5,1,0.06007449237053947
Alboraia,Espanyol,Dos o més llengües,Dos o més llengües,Valencià/català,Espanyol,5,0,3,0.12046257629296499
Aldaia,Espanyol,Espanyol,Espanyol,Valencià/català,Valencià/català,5,0,2,0.06189459350725714
"Alfàs del Pi, l'",Espanyol,Espanyol,Espanyol,Valencià/català,Valencià/català,5,0,1,0.04879238838741156
Algemesí,Activitat sense llengua,Activitat sense llengua,Activitat sense llengua,Valencià/català,Valencià/català,5,5,1,0.03662332906061161
Almoradí,Espanyol,Espanyol,Espanyol,Espanyol,Espanyol,5,0,2,0.09344047841524948
Almussafes,No hi ha informació,Valencià/català,Valencià/català,Bilingüe,Valencià/català,1,5,2,0.2226179875333927
Altea,Activitat sense llengua,Espanyol,Valencià/català,Valencià/català,Espanyol,2,1,3,0.13240940989539657
Benidorm,Espanyol,Espanyol,Espanyol,Espanyol,Espanyol,5,0,1,0.014468011227176713
Benifaió,Valencià/català,Valencià/català,Valencià/català,Valencià/català,Valencià/català,0,5,2,0.16712626389237067
Calp,Espanyol,Espanyol,Espanyol,Bilingüe,Bilingüe,5,0,1,0.042498937526561836
"Campello, el",Espanyol,Espanyol,Espanyol,Bilingüe,Bilingüe,5,0,1,0.03446730775859098
Castelló de la Plana,No hi ha informació,No hi ha informació,No hi ha informació,Valencià/català,Valencià/català,5,5,1,0.00579411202336186
Cox,Espanyol,Espanyol,Espanyol,Espanyol,Espanyol,5,0,1,0.13464386697185943
Dénia,No hi ha informació,No hi ha informació,No hi ha informació,Valencià/català,Valencià/català,5,5,1,0.023281260913091052
Elda,Espanyol,Espanyol,Espanyol,Espanyol,Espanyol,5,0,1,0.01902913360354703
Elx,Espanyol,Activitat sense llengua,No hi ha informació,Bilingüe,Bilingüe,5,0,7,0.029888345680066607
Guardamar del Segura,Activitat sense llengua,Espanyol,Espanyol,Bilingüe,Bilingüe,5,1,2,0.12513295376337358
Llíria,No hi ha informació,No hi ha informació,No hi ha informació,Valencià/català,Valencià/català,5,5,1,0.042286874154262515
Manises,Dos o més llengües,Espanyol,Espanyol,Bilingüe,Valencià/català,5,1,2,0.06392431361268258
Massamagrell,No hi ha informació,Valencià/català,Valencià/català,Bilingüe,Bilingüe,1,5,2,0.12397718819737168
Montserrat,No hi ha informació,No hi ha informació,No hi ha informació,Valencià/català,Valencià/català,5,5,1,0.11554015020219527
"Nucia, la",Espanyol,Espanyol,Espanyol,Espanyol,Espanyol,5,0,3,0.1656726308813784
Paiporta,Espanyol,Valencià/català,Valencià/català,Valencià/català,Valencià/català,1,0,2,0.07575470626112647
Petrer,Espanyol,Espanyol,Espanyol,Bilingüe,Espanyol,5,0,2,0.05880796259813579
Picassent,Espanyol,Espanyol,Espanyol,Valencià/català,Valencià/català,5,0,1,0.04653976823195421
Quart de Poblet,Espanyol,No hi ha informació,No hi ha informació,Valencià/català,Valencià/català,5,0,2,0.07988815658078689
Riba-roja del Túria,Espanyol,Espanyol,Espanyol,Valencià/català,Valencià/català,5,0,1,0.043861572876003334
Rocafort,No hi ha informació,No hi ha informació,No hi ha informació,Espanyol,Espanyol,5,5,2,0.2686366689053056
Silla,Activitat sense llengua,Activitat sense llengua,Activitat sense llengua,Valencià/català,Valencià/català,5,5,1,0.052053511009317585
València,Activitat sense llengua,Valencià/català,Valencià/català,Bilingüe,Bilingüe,1,5,2,0.0025324662169006664
Vila-real,Activitat sense llengua,Activitat sense llengua,Activitat sense llengua,Valencià/català,Valencià/català,5,5,1,0.019557989438685704
Vinaròs,Espanyol,Espanyol,Espanyol,Valencià/català,Valencià/català,5,0,1,0.0346476335666274
Xàtiva,Anglès,Dos o més llengües,No hi ha informació,Valencià/català,Valencià/català,5,5,3,0.10183645066023965
