ajuntament,provincia,comarca,n_habitants,index_envelliment_2021,pob_turistica,govern_22_23,govern_23_24,govern_24_25,subv_us_valencia_2022,predomini_ling,regidoria_cultura,regidoria_cultura_2023,regidoria_cultura_2025,consulta_llengua_2025_valencia,consulta_llengua_2025_castella
Picanya,València,Horta Sud,11692,109.9,No,PSOE,PSOE,PSOE,,Valencià,COMPROMÍS,-,PSOE,"88,76","11,24"
Chiva,València,Foia de Bunyol,15769,92.9,No,COMPROMÍS,PP,PSOE,,castellà,COMPROMÍS,ACTIVA CHIVA,COMPROMÍS,"25,67","74,33"
Xàbia,Alacant,La Marina Alta,27983,158.0,Sí,PSOE,PP,PP,,Valencià,PSOE,C's,C's,"66,04","33,96"
Alberic,València,Ribera Alta,10571,108.1,No,CA,CA,CA,,Valencià,CA,CA,CA,"74,41","25,59"
Nules,Castelló,Plana Baixa,13256,119.0,No,CeN,CeN,CeN,,Valencià,CeN,CeN,,"75,87","24,13"
Alboraia,València,Horta Nord,24904,96.5,Sí,PSOE,PSOE,PSOE,25869.2,Valencià,PSOE,COMPROMÍS,COMPROMÍS,"54,24","45,76"
Aldaia,València,Horta Sud,32313,86.2,No,PSOE,PSOE,PSOE,26411.66,Valencià,PSOE,COMPROMÍS,PSOE,"63,46","36,54"
Altea,Alacant,La Marina Baixa,22657,154.0,Sí,COMPROMÍS,COMPROMÍS,Compromís,6101.59,Valencià,COMPROMÍS,COMPROMÍS,COMPROMÍS,"70,97","29,03"
Alzira,València,Ribera Alta,44865,117.2,No,COMPROMÍS,COMPROMÍS,Compromís,37260.69,Valencià,COMPROMÍS,COMPROMÍS,COMPROMÍS,"75,16","24,84"
Banyeres de Mariola,Alacant,L'Alcoià,7113,138.4,No,COMPROMÍS,COMPROMÍS,Compromís,5314.75,Valencià,COMPROMÍS,COMPROMÍS,COMPROMÍS,"80,98","19,02"
Cocentaina,Alacant,El Comtat,11451,148.6,No,PSOE,PSOE + COMPROMÍS,Compromís,25326.75,Valencià,PSOE,COMPROMÍS,COMPROMÍS,"82,77","17,23"
Llíria,València,Camp de Túria,23648,117.3,No,COMPROMÍS,COMPROMÍS,Compromís,,Valencià,PSOE,COMPROMÍS,PSOE,"66,29","33,71"
Manises,València,Horta Sud,31287,109.6,Sí,COMPROMÍS,PSOE,PSOE,,Valencià,COMPROMÍS,COMPROMÍS,COMPROMÍS,"73,14","26,86"
Ondara,Alacant,La Marina Alta,7080,116.1,No,PSOE,PSOE,PSOE,1331.74,Valencià,PSOE,COMPROMÍS,,"88,92","11,08"
Pedreguer,Alacant,La Marina Alta,8006,156.7,No,COMPROMÍS,COMPROMÍS,Compromís,1140.0,Valencià,COMPROMÍS,COMPROMÍS,COMPROMÍS,"93,90","6,10"
Tavernes de la Valldigna,València,Safor,17162,141.2,Sí,COMPROMÍS,PSOE,PSOE,25597.98,Valencià,COMPROMÍS,COMPROMÍS,,"92,97","7,03"
"Vall d'Uixó, la",Castelló,Plana Baixa,31549,132.7,No,PSOE,PSOE,PSOE,6849.91,Valencià,PSOE,COMPROMÍS,COMPROMÍS,"89,12","10,88"
Catarroja,València,Horta Sud,28509,87.5,No,COMPROMÍS,PSOE,PSOE,35904.56,Valencià,COMPROMÍS,COMPROMÍS,COMPROMÍS,"92,03","7,97"
Foios,València,Horta Nord,7502,105.4,No,COMPROMÍS,COMPROMÍS,Compromís,3462.5,Valencià,PSOE,COMPROMÍS,COMPROMÍS,"81,22","18,78"
Ontinyent,València,Vall d'Albaida,35946,125.9,Sí,ENS UNEIX,ENS UNEIX,ENS UNEIX,2336.65,Valencià,ENS UNEIX,ENS UNEIX,ENS UNEIX,"60,89","39,11"
Sagunt,València,Camp de Morvedre,65669,,Sí,PSOE,PSOE,PSOE,,Valencià,COMPROMÍS,EU,PSOE,"67,73","32,27"
Xàtiva,València,Costera,29459,122.8,Sí,PSOE,PSOE,PSOE,28310.24,Valencià,PSOE,EU,,"69,46","30,54"
Asp,Alacant,El Vinalopó Mitjà,21088,98.0,No,EUPV,EUPV,EUPV,,castellà,EUPV,EUPV,EUPV,"90,64","9,39"
Cheste,València,Foia de Bunyol,8871,123.8,No,PSOE,PSOE,PSOE,,castellà,EUPV,EUPV,,"22,12","77,88"
Bétera,València,Camp de Túria,25423,79.1,No,PP,,PP,,Valencià,MC-TC,MC-TC,MC-TC,"63,22","36,78"
Alacant,Alacant,L'Alacantí,358720,125.9,Sí,PP,PP,PP,,Valencià,PP,PP,PP,"16,93","83,07"
Albatera,Alacant,El Baix Segura,12714,79.2,No,PP,PP,PP,,Castellà,PP,PP,PP,"3,21","96,79"
Alcalà de Xivert,Castelló,Baix Maestrat,6691,138.4,Sí,PP,PP,PP,,Valencià,PP,PP,PP,"85,17","14,83"
Alcàsser,València,Horta Sud,10266,92.9,No,PSOE,PP,PP,6920.88,Valencià,PSOE,PP,PP,"79,08","20,92"
Algemesí,València,Ribera Alta,27305,105.4,No,PSOE,PP-VOX,PP,28581.46,Valencià,EU,PP,pp,"81,65","18,35"
Almàssera,València,Horta Nord,7433,79.0,No,PSOE,PP,PP,,Valencià,PP,PP,pp,"58,40","41,60"
Almassora,Castelló,Plana Alta,26878,79.0,No,PSOE,PP,PP,26140.43,Valencià,CS,PP,PP,"63,17","36,83"
Almoradí,Alacant,El Baix Segura,21404,78.3,No,PP,PP,PP,,castellà,PP,PP,C's,"2,69","97,31"
Benicarló,Castelló,Baix Maestrat,27658,112.7,Sí,PSOE,PP,PP,26411.66,Valencià,PSOE,PP,PP,"79,24","20,76"
Benicàssim,Castelló,Plana Alta,18991,117.2,Sí,PP,PP,PP,7569.71,Valencià,PP,PP,PP,"67,78","32,22"
Benidorm,Alacant,La Marina Baixa,69118,168.5,Sí,PP,PP,PP,,Valencià,PP,PP,PP,"53,34","46,66"
Benissa,Alacant,La Marina Alta,11462,182.1,Sí,PP,PP,PP,21800.82,Valencià,PP,PP,PP,"85,01","14,99"
Bigastro,Alacant,El Baix Segura,6994,89.6,No,PP,PP,PP,,castellà,PP,PP,PP,"2,92","97,08"
Borriana,Castelló,Plana Baixa,34903,107.5,Sí,PSOE,PP,PP,12216.75,Valencià,COMPROMÍS,PP,VOX,"60,49","39,51"
Bunyol,València,Foia de Bunyol,9438,150.6,No,PSOE,PP,PP,,castellà,PSOE,PP,PP,"48,58","51,42"
Callosa d'en Sarrià,Alacant,La Marina Baixa,7589,119.1,No,PP,PP,PP,27767.78,Valencià,PP,PP,PP,"47,87","52,13"
Callosa de Segura,Alacant,El Baix Segura,19273,81.7,No,PP,PP,PSOE,,castellà,PP,PP,PSOE,"2,32","97,68"
"Campello, el",Alacant,L'Alacantí,30600,145.2,Sí,PP,PP,PP,,Valencià,PP,PP,PP,"41,93","58,07"
Carcaixent,València,Ribera Alta,20494,123.3,No,COMPROMÍS,PP,PP,,Valencià,PSOE,PP,PP,"61,94","38,06"
Carlet,València,Ribera Alta,15851,110.4,No,PSOE,PP,PP,27225.34,Valencià,COMPROMÍS,PP,PP,"92,03","7,97"
Castalla,Alacant,L'Alcoià,10752,123.3,No,CS,PP,PP,,Valencià,C's,PP,PP,"80,34","19,66"
Castelló de la Plana,Castelló,Plana Alta,172589,123.5,Sí,PSOE,PP,PSOE,41600.3,Valencià,COMPROMÍS,PP,PP,"61,90","38,10"
Catral,Alacant,El Baix Segura,8880,110.7,No,APCATRAL,PP,PP,,castellà,APC,PP,PP,"5,04","94,96"
Cox,Alacant,El Baix Segura,7427,83.3,No,PP,PP,PP,,castellà,PP,PP,PP,"2,79","97,21"
Crevillent,Alacant,El Baix Vinalopó,29717,97.6,Si,COMPROMÍS,PP,PP,13064.23,Valencià,COMPROMÍS,PP,PP,"66,52","33,48"
Elx,Alacant,El Baix Vinalopó,234205,107.6,Sí,PSOE,PP,PP,42956.43,Valencià,PSOE,PP,PP,"40,25","59,75"
Finestrat,Alacant,La Marina Baixa,7402,93.3,Sí,PP,PP,PP,26411.66,Valencià,PP,PP,PP,"50,80","49,20"
Godella,València,Horta Nord,13027,125.5,No,PSOE,PP,PP,,Valencià,COMPROMÍS,PP,PP,"24,10","75,90"
Meliana,València,Horta Nord,10926,109.2,No,COMPROMÍS,PP,PP,6501.99,Valencià,PSOE,PP,PP,"82,92","17,08"
Moncofa,Castelló,Plana Baixa,6958,130.5,No,PP,PP,PP,25597.98,Valencià,PP,PP,PP,"84,33","15,67"
Mutxamel,Alacant,L'Alacantí,27761,87.8,No,PP,PP,PP,9699.12,Valencià,PSOE,PP,PP,"59,03","40,97"
Nàquera,València,Camp de Túria,7301,68.0,No,UPdN,vox,VOX,,Valencià,UPdN,PP,,"65,64","34,36"
"Nucia, la",Alacant,La Marina Baixa,18108,96.7,sí,,PP,PP,,Valencià,PP,PP,PP,"55,42","44,58"
"Olleria, l'",València,Vall d'Albaida,8404,130.6,No,PP,PP,PP,2796.66,Valencià,PP,PP,PP,"90,99","9,01"
Onda,Castelló,Plana Baixa,24939,99.6,Si,PP,PP,PP,36175.79,Valencià,PP,PP,PP,"81,38","18,38"
Onil,Alacant,L'Alcoià,7569,133.3,No,PSOE,PP,PP,,Valencià,PSOE,PP,PSOE,"89,92","10,08"
Peníscola,Castelló,Baix Maestrat,7882,156.5,Sí,PP,PP,PP,,Valencià,PP,PP,PP,"73,26","26,74"
Pilar de la Horadada,Alacant,El Baix Segura,22597,128.6,Sí,PP,PP,PP,,castellà,pp,PP,PP,"1,69","98,31"
"Pobla de Vallbona, la",València,Camp de Túria,25275,64.6,No,COMPROMÍS,PP,PP,28310.24,Valencià,COMPROMÍS,PP,PP,"65,77","343,23"
Puçol,València,Horta Nord,19975,104.6,Sí,PP,PP,PP,3511.29,Valencià,PP,PP,PP,"70,96","29,04"
Rafelbunyol,València,Horta Nord,9351,85.4,No,PSOE,PP,PSOE,,Valencià,PSOE,PP,PSOE,"75,50","24,50"
Rocafort,València,Horta Nord,7445,74.2,No,PSOE,PP,PP,896.63,Valencià,PSOE,PP,PP,"65,85","34,15"
San Fulgencio,Alacant,El Baix Segura,8447,453.5,Sí,PSOE,PP,PP,,castellà,PSOE,PP,PP,"4,67","95,33"
Sant Joan d'Alacant,Alacant,L'Alacantí,25918,112.6,No,PSOE,PP,PP,,Valencià,PP,PP,PP,"47,93","52,07"
Sant Vicent del Raspeig,Alacant,L'Alacantí,60269,89.9,No,PSOE,PP,PP,,Valencià,EUPV,PP,PP,"27,42","72,58"
Santa Pola,Alacant,El Baix Vinalopó,34148,116.9,Sí,PP,PP,PP,29395.14,Valencià,PP,PP,PP,"32,54","67,46"
Sogorb,Castelló,Alt Palancia,9139,150.2,Sí,ç,PP,PP,,castellà,PP,PP,PP,"71,46","28,54"
Tavernes Blanques,València,Horta Nord,9205,130.1,No,PSOE,PP,PP,,Valencià,PSOE,PP,PP,"80,40","19,60"
Teulada,Alacant,La Marina Alta,11466,235.8,Si,PP,PP,PP,,Valencià,PSOE,PP,,"74,01","25,99"
Torrent,València,Horta Sud,84025,92.2,No,PSOE,PP,PP,,Valencià,PSOE,PP,PP,"44,36","55,64"
Torrevieja,Alacant,El Baix Segura,82842,163.3,Sí,PP,PP,PP,,castellà,PP,PP,PP,"2,16","97,84"
"Vila Joiosa, la",Alacant,La Marina Baixa,34684,122.4,Sí,PSOE,PP,PP,35090.88,Valencià,PSOE,PP,PP,"70,97","29,03"
Canals,València,Costera,13257,134.5,No,COMPROMÍS,PP,PP,,Valencià,COMPROMÍS,PP,GENT DE CANALS,"80,55","19,45"
Oliva,València,Safor,25119,139.7,Sí,COMPROMÍS,PROJECTE OLIVA,PROJECTE OLIVA,25055.53,Valencià,COMPROMÍS,PROJECTE OLIVA,PROJECTE OLIVA,"82,69","17,31"
Alginet,València,Ribera Alta,13942,105.1,No,PSd'A,PP,PP,20173.46,Valencià,PSd'A,PSd'A,PP,"86,95","13,05"
Alaquàs,València,Horta Sud,29649,125.9,No,PSOE,PSOE,PSOE,21258.36,Valencià,PSOE,PSOE,COMPROMÍS,"70,27","29,73"
Alcoi,Alacant,L'Alcoià,59128,147.9,Sí,PSOE,PSOE,PSOE,27767.78,Valencià,PSOE,PSOE,COMPROMÍS,"40,34","59,66"
"Alcora, l'",Castelló,Alcalatén,10428,125.3,No,PSOE,PSOE,PSOE,,Valencià,PSOE,PSOE,PSOE,"63,17","36,83"
"Alcúdia, l'",València,Ribera Alta,12193,106.3,No,PSOE,PSOE,PSOE,19902.24,Valencià,PSOE,PSOE,PSOE,"90,85","9,15"
"Alfàs del Pi, l'",Alacant,La Marina Baixa,20495,201.7,Si,PSOE,PSOE,PSOE,,Valencià,PSOE,PSOE,PSOE,"56,66","43,34"
Almussafes,València,Ribera Baixa,8984,102.0,No,PSOE,PSOE,PP,,Valencià,PSOE,PSOE,pp,"85,84","14,16"
Benetússer,València,Horta Sud,15430,129.5,No,PSOE,PSOE,PSOE,,Valencià,PSOE,PSOE,PSOE,"62,30","37,70"
Benifaió,València,Ribera Alta,11967,144.5,No,PSOE,PSOE,PSOE,,Valencià,PSOE,PSOE,PSOE,"72,33","27,67"
Burjassot,València,Horta Nord,38712,118.4,No,PSOE,PSOE,PSOE,37260.69,Valencià,PSOE,PSOE,PSOE,"52,96","47,04"
