Marca de temps,Localitat,Data,Categoria,"En cas d'altres, quina?","Nom de l'activitat ","Companyia, artista",Lloc,Llengua de l'activitat,Preu,Regidoria organitzadora,Llengua de la publicitat,Font,Persona que ha introduït les dades,,,Estructura dades,Observacions estructura dades
06/02/2023 12:58:19,Albal,01/10/2022,Música,,XIX campaña de conciertos de intercambios,Orquestra de pols i pua Abalsants i cor calixtí,Patronato,Activitat sense llengua,,Cultura,Espanyol,https://www.facebook.com/lalcudiadecrespins/?locale=es_ES,Blanca,,,,
07/02/2023 9:28:16,Alboraia,01/10/2022,Exposició,,Botànica: Exposició de fotografia,Pablo Sanjuan,Casa Cultura José Peris Aragó,Activitat sense llengua,,Cultura,Valencià/català,http://agendaalboraya.es/agenda-octubre-noviembre-2022,Hermi,,,,
07/02/2023 9:24:37,Alboraia,01/10/2022,Exposició,,Exposició de Retrats,Horacio Balastegui Ribera,Casa Cultura José Peris Aragó,Activitat sense llengua,,Cultura,Valencià/català,http://agendaalboraya.es/agenda-octubre-noviembre-2022,Hermi,,,,
07/02/2023 11:15:55,Algemesí,01/10/2022,Exposició,,Gemma Alpuente: Orografies de color en una realitat fluïda,Gemma Alpuente (artista) i Àlex Villar (comissari),Sala d'exposicions municipal (Casino),Activitat sense llengua,,Cultura,Valencià/català,https://www.instagram.com/ajuntamentalgemesi/?hl=es,Blanca,,,,
08/02/2023 9:42:38,Almàssera,01/10/2022,Música,,CONCERT CAMPANYA CONCERTS D’INTERCANVIS  FSMCV,Banda simfònica de la Unió musical de la Pobla de Farnals i Banda simfònica del centre estudi musical d'Almàssera,Centre Cultural,Activitat sense llengua,,Cultura,Bilingüe,https://www.facebook.com/ajuntamentalmassera/?locale=ca_ES,Blanca,,,,
08/02/2023 11:06:44,Almussafes,01/10/2022,Música,,Concert d'intercanvi de Bandes Joves ,Banda Jove Lira Almussafense Banda Juvenil Filharmònica Alcudiana,Esplanada del Centre Cultural,Activitat sense llengua,,Cultura,Valencià/català,https://www.instagram.com/ajuntamentalmussafes/?hl=es,Marina,,,,
07/02/2023 13:12:19,Alzira,01/10/2022,Contacontes,,Una illa de contes,,Biblioteca Municipal d'Alzira,Valencià/català,,Altres,Valencià/català,https://www.facebook.com/AjuntAlzira?locale=ca_ES,Marina,,,,
07/02/2023 10:38:26,Benifaió,01/10/2022,Cinema,,Tadeo Jones 3. La tabla esmeralda,,Centre Cultural Enric Valor,Valencià/català,"3,5/2,5€",Cultura,Valencià/català,https://www.facebook.com/culturajoventut.ajuntamentbenifaio/,Hermi,,,,
07/02/2023 10:40:17,Benifaió,01/10/2022,Cinema,,Viaje al paraiso,,Centre Cultural Enric Valor,Espanyol,"3,5/2,5€",Cultura,Valencià/català,https://www.facebook.com/culturajoventut.ajuntamentbenifaio/,Hermi,,,,
08/02/2023 12:15:54,Bunyol,01/10/2022,Música,,Festival de Música Mancomunitat de la Folla de Bunyol-Xiva,Bandes joves l'Artística i l'Armònica de Bunyol i Banda de Yatova i Alboraxe,Carrers de Buñol,Activitat sense llengua,,Cultura,Espanyol,https://www.facebook.com/culturabunyol/,Hermi,,,,
08/02/2023 13:31:21,Burjassot,01/10/2022,Música,,Associació Montau ofereix un concert ,"grup de Latin Jazz, Open Latin i les versions de “Krooner”",Casa de Cultura,Activitat sense llengua,,Cultura,Valencià/català,https://www.burjassot.org/va/la-asociacion-montau-ofrece-un-concierto-gratuito-en-la-casa-de-cultura/,Hermi,,,,
07/02/2023 9:57:58,Carlet,01/10/2022,Música,,Antología de la Sarsuela,,Teatre Giner,Espanyol,,Cultura,Valencià/català,https://www.carlet.es/va/evento/antologia-sarsuela,Joan,,,,
08/02/2023 10:01:12,"Eliana, l´",01/10/2022,Música,,FIRA GENT GRAN - AL FIN JUNTOS,ESPECTÁCULOS INFINITY,AUDITORI MUNICIPAL,Espanyol,"7€, 5€",Cultura,Valencià/català,https://www.leliana.es/va/evento/al-fin-juntos,Joan,,,,
17/02/2023 10:17:29,Foios,01/10/2022,Música,,CONCERT,RASCANYA,PARC DE L'ALBEREDA,Valencià/català,,Cultura,Valencià/català,https://www.foios.es/sites/www.foios.es/files/docs/cultura/9-oct/Programa_setmana_cultural_9-Oct22_rev2.pdf,Joan,,,,
