MUNICIPI,PROVÍNCIA,COMARCA,N HABITANTS,ÌNDEX ENVELLIMENT POBLACIÓ (2021),POBLACIÓ TURÍSTICA,PARTIT GOVERNANT EN 2022-23,PARTIT GOVERNANT 2023-24,"Subvenció normalització
 de l'us del valencià 
per part de la Generalitat (2022)",LLENGUA PREDOMINANT,Regidoria Cultura 2022,Regidoria Cultura 2023
Picanya,València,Horta Sud,11692,"109,90",,PSOE,PSOE,,Valencià,COMPROMÍS,-
Chiva,València,Foia de Bunyol,15769,"92,90",,COMPROMÍS,PP,,castellà,COMPROMÍS,ACTIVA CHIVA
Xàbia,Alacant,La Marina Alta,27983,"158,00",,PSOE,PP,,Valencià,PSOE,C's
Alberic,València,Ribera Alta,10571,"108,10",,CA,CA,,Valencià,CA,CA
Nules,Castelló,Plana Baixa,13256,"119,00",,CeN,CeN,,Valencià,CeN,CeN
Alboraia,València,Horta Nord,24904,"96,50",,PSOE,PSOE,"25.869,20€",Valencià,PSOE,COMPROMÍS
Aldaia,València,Horta Sud,32313,"86,20",,PSOE,PSOE,"26.411,66€",Valencià,PSOE,COMPROMÍS
Altea,Alacant,La Marina Baixa,22657,"154,00",Sí,COMPROMÍS,COMPROMÍS,"6.101,59€",Valencià,COMPROMÍS,COMPROMÍS
Alzira,València,Ribera Alta,44865,"117,20",,COMPROMÍS,COMPROMÍS,"37.260,69€",Valencià,COMPROMÍS,COMPROMÍS
Banyeres de Mariola,Alacant,L'Alcoià,7113,"138,40",,COMPROMÍS,COMPROMÍS,"5.314,75€",Valencià,COMPROMÍS,COMPROMÍS
Cocentaina,Alacant,El Comtat,11451,"148,60",,PSOE,PSOE + COMPROMÍS,"25.326,75€",Valencià,PSOE,COMPROMÍS
Llíria,València,Camp de Túria,23648,"117,30",,COMPROMÍS,COMPROMÍS,,Valencià,PSOE,COMPROMÍS
Manises,València,Horta Sud,31287,"109,60",,COMPROMÍS,PSOE,,Valencià,COMPROMÍS,COMPROMÍS
Ondara,Alacant,La Marina Alta,7080,"116,10",,PSOE,PSOE,"1.331,74€",Valencià,PSOE,COMPROMÍS
Pedreguer,Alacant,La Marina Alta,8006,"156,70",,COMPROMÍS,COMPROMÍS,"1.140,00€",Valencià,COMPROMÍS,COMPROMÍS
Tavernes de la Valldigna,València,Safor,17162,"141,20",,COMPROMÍS,PSOE,"25.597,98€",Valencià,COMPROMÍS,COMPROMÍS
"Vall d'Uixó, la",Castelló,Plana Baixa,31549,"132,70",,PSOE,PSOE,"6.849,91€",Valencià,PSOE,COMPROMÍS
Ontinyent,València,Vall d'Albaida,35946,"125,90",,ENS UNEIX,ENS UNEIX,"2.336,65€",Valencià,ENS UNEIX,ENS UNEIX
Sagunt,València,Camp de Morvedre,65669,,,PSOE,PSOE,,Valencià,COMPROMÍS,EU
Xàtiva,València,Costera,29459,"122,80",,PSOE,PSOE,"28.310,24€",Valencià,PSOE,EU
Asp,Alacant,El Vinalopó Mitjà,21088,"98,00",,EUPV,EUPV,,castellà,EUPV,EUPV
Bétera,València,Camp de Túria,25423,"79,10",,PP,,,Valencià,MC-TC,MC-TC
Alacant,Alacant,L'Alacantí,337304,"125,90",Sí,PP,PP,,Valencià,PP,PP
Albatera,Alacant,El Baix Segura,12714,"79,20",,PP,PP,,Castellà,PP,PP
Alcalà de Xivert,Castelló,Baix Maestrat,6691,"138,40",Sí,PP,PP,,Valencià,PP,PP
Alcàsser,València,Horta Sud,10266,"92,90",,PSOE,PP,"6.920,88€",Valencià,PSOE,PP
Algemesí,València,Ribera Alta,27305,"105,40",,PSOE,PP-VOX,"28.581,46€",Valencià,EU,PP
Almàssera,València,Horta Nord,7433,"79,00",,PSOE,PP,,Valencià,PP,PP
Almassora,Castelló,Plana Alta,26878,"79,00",,PSOE,PP,"26.140,43€",Valencià,CS,PP
Almoradí,Alacant,El Baix Segura,21404,"78,30",,PP,PP,,castellà,PP,PP
Benicarló,Castelló,Baix Maestrat,27658,"112,70",,PSOE,PP,"26.411,66€",Valencià,PSOE,PP
Benicàssim,Castelló,Plana Alta,18991,"117,20",Sí,PP,PP,"7.569,71€",Valencià,PP,PP
Benidorm,Alacant,La Marina Baixa,69118,"168,50",Sí,PP,PP,,Valencià,PP,PP
Benissa,Alacant,La Marina Alta,11462,"182,10",,PP,PP,"21.800,82€",Valencià,PP,PP
Bigastro,Alacant,El Baix Segura,6994,"89,60",,PP,PP,,castellà,PP,PP
Borriana,Castelló,Plana Baixa,34903,"107,50",,PSOE,PP,"12.216,75€",Valencià,COMPROMÍS,PP
Bunyol,València,Foia de Bunyol,9438,"150,60",,PSOE,PP,,castellà,PSOE,PP
Callosa d'en Sarrià,Alacant,La Marina Baixa,7589,"119,10",,PP,PP,"27.767,78€",Valencià,PP,PP
Callosa de Segura,Alacant,El Baix Segura,19273,"81,70",,PP,PP,,castellà,PP,PP
"Campello, el",Alacant,L'Alacantí,29013,"145,20",Sí,PP,PP,,Valencià,PP,PP
Carcaixent,València,Ribera Alta,20494,"123,30",,COMPROMÍS,PP,,Valencià,PSOE,PP
Carlet,València,Ribera Alta,15851,"110,40",,PSOE,PP,"27.225,34€",Valencià,COMPROMÍS,PP
Castalla,Alacant,L'Alcoià,10752,"123,30",,CS,PP,,Valencià,CS,PP
Castelló de la Plana,Castelló,Plana Alta,172589,"123,50",Sí,PSOE,PP,"41.600,30€",Valencià,COMPROMÍS,PP
Catral,Alacant,El Baix Segura,8880,"110,70",,APCATRAL,PP,,castellà,APC,PP
Cox,Alacant,El Baix Segura,7427,"83,30",,PP,PP,,castellà,PP,PP
Crevillent,Alacant,El Baix Vinalopó,29717,"97,60",,COMPROMÍS,PP,"13.064,23€",Valencià,COMPROMÍS,PP
Elx,Alacant,El Baix Vinalopó,234205,"107,60",,PSOE,PP,"42.956,43€",Valencià,PSOE,PP
Finestrat,Alacant,La Marina Baixa,7402,"93,30",Sí,PP,PP,"26.411,66€",Valencià,PP,PP
Godella,València,Horta Nord,13027,"125,50",,PSOE,PP,,Valencià,COMPROMÍS,PP
Meliana,València,Horta Nord,10926,"109,20",,COMPROMÍS,PP,"6.501,99€",Valencià,PSOE,PP
Moncofa,Castelló,Plana Baixa,6958,"130,50",,PP,PP,"25.597,98€",Valencià,PP,PP
Mutxamel,Alacant,L'Alacantí,25679,"87,80",,PP,PP,"9.699,12€",Valencià,PSOE,PP
Nàquera,València,Camp de Túria,7301,"68,00",,UPdN,vox,,Valencià,UPdN,PP
"Nucia, la",Alacant,La Marina Baixa,18108,"96,70",,PP,PP,,Valencià,PP,PP
"Olleria, l'",València,Vall d'Albaida,8404,"130,60",,PP,PP,"2.796,66€",Valencià,PP,PP
Onda,Castelló,Plana Baixa,24939,"99,60",,PP,PP,"36.175,79€",Valencià,PP,PP
Onil,Alacant,L'Alcoià,7569,"133,30",,PSOE,PP,,Valencià,PSOE,PP
Peníscola,Castelló,Baix Maestrat,7882,"156,50",Sí,PP,PP,,Valencià,PP,PP
Pilar de la Horadada,Alacant,El Baix Segura,22597,"128,60",,PP,PP,,castellà,pp,PP
"Pobla de Vallbona, la",València,Camp de Túria,25275,"64,60",,COMPROMÍS,PP,"28.310,24€",Valencià,COMPROMÍS,PP
Puçol,València,Horta Nord,19975,"104,60",Sí,PP,PP,"3.511,29€",Valencià,PP,PP
Rafelbunyol,València,Horta Nord,9351,"85,40",,PSOE,PP,,Valencià,PSOE,PP
Rocafort,València,Horta Nord,7445,"74,20",,PSOE,PP,"896,63€",Valencià,PSOE,PP
San Fulgencio,Alacant,El Baix Segura,8447,"453,50",,PSOE,PP,,castellà,PSOE,PP
Sant Joan d'Alacant,Alacant,L'Alacantí,24363,"112,60",,PSOE,PP,,Valencià,PP,PP
Sant Vicent del Raspeig,Alacant,L'Alacantí,58912,"89,90",,PSOE,PP,,Valencià,EUPV,PP
Santa Pola,Alacant,El Baix Vinalopó,34148,"116,90",Sí,PP,PP,"29.395,14€",Valencià,PP,PP
Sogorb,Castelló,Alt Palancia,9139,"150,20",,PP,PP,,castellà,PP,PP
Tavernes Blanques,València,Horta Nord,9205,"130,10",,PSOE,PP,,Valencià,PSOE,PP
Teulada,Alacant,La Marina Alta,11466,"235,80",,PP,PP,,Valencià,PSOE,PP
Torrent,València,Horta Sud,84025,"92,20",,PSOE,PP,,Valencià,PSOE,PP
Torrevieja,Alacant,El Baix Segura,82842,"163,30",,PP,PP,,castellà,PP,PP
